paslon,total_suara,persentase_suara,kab_kota,latitude,longitude
"(01) ADMIN AS LASIMPALA, S.IP - MOH. BAEDHAWI A. ABDULLAH, S.Pd.I",5020,7.45017141330642,Tojo Una-una,-0.8731762,121.0819674
"(02) RENDY M. AFANDY LAMADJIDO - Drs. HASAN LASIATA, MM",25332,37.5951677772666,Tojo Una-una,-0.8731762,121.0819674
"(03) MOHAMMAD LAHAY, SE,.MM â€“ ILHAM",23658,35.1107879075704,Tojo Una-una,-0.8731762,121.0819674
"(04) IR SUPRAPTO DG. SITURU, MH - MOH. AFNAN RACHMAT, SH",13371,19.8438729018566,Tojo Una-una,-0.8731762,121.0819674
(01) Drs. H. WENNY BUKAMO - RIDAYA LA ODE NGKOWE,9526,27.5309962139823,Banggai Laut,-1.8484516,123.0315126
"(02)  H. RUSLI BANUN, S.Si.,APT.,MM. - BASRI",4150,11.9938730094506,Banggai Laut,-1.8484516,123.0315126
"(03) Dra. Hj. TUTY HAMID - RICHARD BRYNWERD SCHWANER MANUAS , ST.",9001,26.0136990260397,Banggai Laut,-1.8484516,123.0315126
"(04) SOFYAN KAEPA, SH. - ABLIT, SH.",11924,34.4614317505274,Banggai Laut,-1.8484516,123.0315126
"(01) Hj. SULIANTI MURAD, SH, MM. - Drs. H. ZAINAL ABIDIN ALI HAMU, MA.",33578,24.6500121128477,Banggai,-1.1160375,122.0904915
"(02) Ir. H. AMIRUDIN - Drs. H. FURQANUDDIN MASULILI, MM.",59303,43.5350428354341,Banggai,-1.1160375,122.0904915
"(03) Ir. H. HERWIN YATIM, MM. - H MUSTAR LABOLO",43338,31.8149450517182,Banggai,-1.1160375,122.0904915
(01) dr. VERNA G. M. INKIRIWANG - M. YASIN MANGUN,50768,48.5186742612485,Poso,-1.3972809,120.7175694
(02) DARMIN AGUSTINUS SIGILIPU - AMDJAD LAWASA,44782,42.7978898275928,Poso,-1.3972809,120.7175694
"(03) Ir. SAMSURI, M.Si - Ir. TONY SOWOLINO, M.Si",9086,8.68343591115868,Poso,-1.3972809,120.7175694
"(01) Mohamad Irwan, S.Sos., M.Si. - Dr. Samuel Yansen Pongi, S.E., M.Si.",65349,55.1166027073757,Sigi,-1.4615206,119.4422404
"(02)  Drs. H. Husen Habibu, M.H.I - Paulina, S.E., M.Si.",53216,44.8833972926243,Sigi,-1.4615206,119.4422404
(01) ABDUL RAHMAN Hi. BUDDING - MOH. FAISAL BANTILAN,14722,15.3311047934435,Toli-toli,0.9811388,120.3767446
"(02) MUCHTAR DELUMA, SH,.MM - BAKRI IDRUS ",38669,40.2688827100711,Toli-toli,0.9811388,120.3767446
(03) AMRAN Hi. YAHYA - MOH. BESAR BANTILAN ,42636,44.4000124964854,Toli-toli,0.9811388,120.3767446
